label	locus_id	target	num_segments	is_stitched
sorted	locus_split_dae0ef86	ISEc23_IS66_unknown_stitched	4	True
sorted	locus_split_e191709e	ISEc23_IS66_unknown_stitched	4	True
sorted	locus_split_f372bc7a	ISEc52_IS3_IS3_stitched	3	True
sorted	locus_split_b3b715d7	ISSfl10_IS3_IS3_stitched	2	True
sorted	locus_split_4e2050bd	IS1397_IS3_IS150_stitched	6	True
sorted	locus_split_944d1195	IS1397_IS3_IS150_stitched	5	True
sorted	locus_split_fc31b26d	IS1397_IS3_IS150_stitched	4	True
sorted	locus_split_e792ca5e	ISEc8_IS66_unknown_stitched	5	True
sorted	locus_split_2dcbedd3	ISEc8_IS66_unknown_stitched	3	True
sorted	locus_split_edfb417c	ISEc8_IS66_unknown_stitched	3	True
sorted	locus_split_919b0756	IS1F_IS1_unknown_stitched	3	True
sorted	locus_split_5e8cfc8f	IS1F_IS1_unknown_stitched	3	True
sorted	locus_f5f07d6a	ISEc23_IS66_unknown	1	False
sorted	locus_498c688c	ISEc12_IS21_unknown	1	False
sorted	locus_9b769caa	ISEc12_IS21_unknown	1	False
sorted	locus_47f3acda	ISEc12_IS21_unknown	1	False
sorted	locus_28a6913e	IS609_IS200/IS605_IS605	1	False
sorted	locus_7f4d0eb0	ISSfl10_IS3_IS3	1	False
sorted	locus_c1579c2c	IS3411_IS3_IS51	1	False
sorted	locus_8fd5c38d	IS1397_IS3_IS150	1	False
sorted	locus_712bcdb4	IS200C_IS200/IS605_IS200	1	False
sorted	locus_de5c1767	IS1A_IS1_unknown	1	False
sorted	locus_29e56847	ISEc23_IS66_unknown	1	False
sorted	locus_f5a14fd0	IS1F_IS1_unknown	1	False
sorted	locus_27b22a97	IS1R_IS1_unknown	1	False
sorted	locus_5c99b250	IS600_IS3_IS3	1	False
sorted	locus_5830dbe5	IS1R_IS1_unknown	1	False
sorted	locus_fde3cf2a	IS1397_IS3_IS150	1	False
sorted	locus_1bb1add1	IS1397_IS3_IS150	1	False
sorted	locus_3ea43b88	IS200C_IS200/IS605_IS200	1	False
sorted	locus_f86ebc08	IS200C_IS200/IS605_IS200	1	False
sorted	locus_d37b4c1d	ISSfl10_IS3_IS3	1	False
sorted	locus_a69c05d0	ISEc12_IS21_unknown	1	False
sorted	locus_03704344	ISEc8_IS66_unknown	1	False
sorted	locus_2901f41d	IS1R_IS1_unknown	1	False
sorted	locus_08fbf18b	IS1R_IS1_unknown	1	False
sorted	locus_28ac18ae	IS1F_IS1_unknown	1	False
sorted	locus_82f93182	ISEc52_IS3_IS3	1	False
sorted	locus_50992752	ISEc12_IS21_unknown	1	False
sorted	locus_1d9165e1	IS200C_IS200/IS605_IS200	1	False
sorted	locus_089eeab6	IS600_IS3_IS3	1	False
sorted	locus_e790c56c	ISEc8_IS66_unknown	1	False
sorted	locus_557fcd83	ISEc12_IS21_unknown	1	False
sorted	locus_e48cc941	IS30D_IS30_unknown	1	False
sorted	locus_c5a0b059	ISEc22_IS66_unknown	1	False
sorted	locus_6113db3e	ISEc12_IS21_unknown	1	False
sorted	locus_bdaf607d	IS682_IS66_unknown	1	False
sorted	locus_23f2ae07	ISEc12_IS21_unknown	1	False
sorted	locus_2080da17	ISKox3_ISL3_unknown	1	False
sorted	locus_c94fdb19	IS3411_IS3_IS51	1	False
sorted	locus_dbf0b869	ISSfl10_IS3_IS3	1	False
sorted	locus_7ed350cd	ISSd1_IS3_IS3	1	False
sorted	locus_72ed42ea	IS200C_IS200/IS605_IS200	1	False
sorted	locus_4842cae5	ISEc8_IS66_unknown	1	False
sorted	locus_990e9e09	IS629_IS3_IS51	1	False
sorted	locus_2ca04481	IS100kyp_IS21_unknown	1	False
sorted	locus_f2008352	ISEc20_IS110_unknown	1	False
sorted	locus_ec47ce87	IS640_IS21_unknown	1	False
sorted	locus_b24d4dc9	IS21_IS21_unknown	1	False
sorted	locus_62f55b81	ISEc52_IS3_IS3	1	False
sorted	locus_4e53916f	ISEc12_IS21_unknown	1	False
sorted	locus_e193f162	IS609_IS200/IS605_IS605	1	False
sorted	locus_49adc81f	IS609_IS200/IS605_IS605	1	False
sorted	locus_ce7fae20	IS609_IS200/IS605_IS605	1	False
sorted	locus_60cf2252	ISEc53_ISL3_unknown	1	False
sorted	locus_88cc34e3	ISEc52_IS3_IS3	1	False
sorted	locus_443871de	ISCro1_IS66_unknown	1	False
sorted	locus_8f03fc41	IS21_IS21_unknown	1	False
sorted	locus_abc10133	ISEc49_IS66_unknown	1	False
sorted	locus_c288cdad	ISEc43_IS66_unknown	1	False
sorted	locus_641d0d2f	ISEc49_IS66_unknown	1	False
sorted	locus_3ed51465	IS629_IS3_IS51	1	False
sorted	locus_1822ecd0	IS1397_IS3_IS150	1	False
sorted	locus_26720bad	IS682_IS66_unknown	1	False
sorted	locus_7d489b1f	ISEch14_IS3_IS150	1	False
sorted	locus_f6a9cad9	ISEc45_IS110_IS1111	1	False
sorted	locus_8266e9f1	ISEc83_IS66_unknown	1	False
sorted	locus_816a0d52	ISEc8_IS66_unknown	1	False
sorted	locus_b20597c4	ISEc23_IS66_unknown	1	False
sorted	locus_37fd2806	ISEc12_IS21_unknown	1	False
sorted	locus_dba5f2db	ISEc23_IS66_unknown	1	False
sorted	locus_855f5870	IS609_IS200/IS605_IS605	1	False
sorted	locus_8f91d25d	ISEc23_IS66_unknown	1	False
sorted	locus_c72ad165	ISEc52_IS3_IS3	1	False
sorted	locus_ffdf3d99	IS1F_IS1_unknown	1	False
sorted	locus_879738fc	IS200C_IS200/IS605_IS200	1	False
sorted	locus_934edb4c	ISEc12_IS21_unknown	1	False
sorted	locus_e053491c	IS1203_IS3_IS51	1	False
sorted	locus_b3c09b8b	IS1X2_IS1_unknown	1	False
sorted	locus_a4abb26f	IS1397_IS3_IS150	1	False
sorted	locus_7ba90c07	ISEc10_IS21_unknown	1	False
sorted	locus_969890c5	ISKpn42_IS110_unknown	1	False
sorted	locus_b16df89d	ISEc52_IS3_IS3	1	False
sorted	locus_4230a6e6	ISEc24_IS3_IS51	1	False
sorted	locus_cda8dfd9	IS4_IS4_IS4	1	False
sorted	locus_218ed683	ISCfr4_IS30_unknown	1	False
sorted	locus_85058e35	ISSen3_IS21_unknown	1	False
sorted	locus_429050e8	MITEEc1_IS630_unknown	1	False
sorted	locus_0742e427	ISEc12_IS21_unknown	1	False
sorted	locus_0c00c665	ISSen1_IS3_IS3	1	False
sorted	locus_61048ba2	ISEc52_IS3_IS3	1	False
sorted	locus_3969bdd0	IS621_IS110_unknown	1	False
sorted	locus_29654858	IS200C_IS200/IS605_IS200	1	False
sorted	locus_2f2e39a7	IS1D_IS1_unknown	1	False
sorted	locus_ac392f15	IS1B_IS1_unknown	1	False
